INFO 2020-07-08 20:01:20,869 autoreload 598 Watching for file changes with StatReloader
ERROR 2020-07-08 20:47:50,605 exception 77 Invalid HTTP_HOST header: '127.0.0.1:9001'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-07-08 20:47:50,690 log 228 Bad Request: /
WARNING 2020-07-08 20:47:50,693 basehttp 157 "GET / HTTP/1.1" 400 73116
ERROR 2020-07-08 20:47:51,098 exception 77 Invalid HTTP_HOST header: '127.0.0.1:9001'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-07-08 20:47:51,141 log 228 Bad Request: /favicon.ico
WARNING 2020-07-08 20:47:51,142 basehttp 157 "GET /favicon.ico HTTP/1.1" 400 73027
INFO 2020-07-08 21:00:12,384 autoreload 598 Watching for file changes with StatReloader
ERROR 2020-07-08 21:00:16,980 exception 77 Invalid HTTP_HOST header: '127.0.0.1:9001'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-07-08 21:00:18,155 log 228 Bad Request: /
WARNING 2020-07-08 21:00:18,156 basehttp 157 "GET / HTTP/1.1" 400 73116
ERROR 2020-07-08 21:00:18,840 exception 77 Invalid HTTP_HOST header: '127.0.0.1:9001'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-07-08 21:00:18,870 log 228 Bad Request: /favicon.ico
WARNING 2020-07-08 21:00:18,870 basehttp 157 "GET /favicon.ico HTTP/1.1" 400 73027
ERROR 2020-07-08 21:08:26,216 exception 77 Invalid HTTP_HOST header: '127.0.0.1:9001'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-07-08 21:08:26,428 log 228 Bad Request: /
WARNING 2020-07-08 21:08:26,429 basehttp 157 "GET / HTTP/1.1" 400 73116
ERROR 2020-07-08 21:08:26,932 exception 77 Invalid HTTP_HOST header: '127.0.0.1:9001'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-07-08 21:08:26,972 log 228 Bad Request: /favicon.ico
WARNING 2020-07-08 21:08:26,972 basehttp 157 "GET /favicon.ico HTTP/1.1" 400 73027
INFO 2020-07-08 21:13:34,835 autoreload 222 C:\Users\杨洪举\PycharmProjects\bz\bz_edu\bz_edu\settings\develop.py changed, reloading.
INFO 2020-07-08 21:13:44,626 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-08 21:19:16,528 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-08 21:19:19,378 basehttp 157 "GET / HTTP/1.1" 200 16351
WARNING 2020-07-08 21:19:19,923 log 228 Not Found: /favicon.ico
WARNING 2020-07-08 21:19:19,924 basehttp 157 "GET /favicon.ico HTTP/1.1" 404 1972
INFO 2020-07-08 21:21:24,884 autoreload 222 C:\Users\杨洪举\PycharmProjects\bz\bz_edu\bz_edu\settings\develop.py changed, reloading.
INFO 2020-07-08 21:21:30,020 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-08 22:12:13,395 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-08 22:29:14,746 autoreload 222 C:\Users\杨洪举\PycharmProjects\bz\bz_edu\bz_edu\apps\home\models.py changed, reloading.
INFO 2020-07-08 22:29:19,610 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-08 22:36:12,700 autoreload 222 C:\Users\杨洪举\PycharmProjects\bz\bz_edu\bz_edu\apps\home\BaseModel.py changed, reloading.
INFO 2020-07-08 22:36:17,361 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-08 22:39:56,185 autoreload 222 C:\Users\杨洪举\PycharmProjects\bz\bz_edu\bz_edu\apps\home\admin.py changed, reloading.
INFO 2020-07-08 22:39:57,964 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-08 22:41:04,320 autoreload 598 Watching for file changes with StatReloader
ERROR 2020-07-08 22:41:07,690 exception 77 Invalid HTTP_HOST header: '127.0.0.1:9001'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-07-08 22:41:07,964 log 228 Bad Request: /
WARNING 2020-07-08 22:41:07,965 basehttp 157 "GET / HTTP/1.1" 400 73292
ERROR 2020-07-08 22:41:08,519 exception 77 Invalid HTTP_HOST header: '127.0.0.1:9001'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-07-08 22:41:08,561 log 228 Bad Request: /favicon.ico
WARNING 2020-07-08 22:41:08,562 basehttp 157 "GET /favicon.ico HTTP/1.1" 400 73203
ERROR 2020-07-08 22:42:20,040 exception 77 Invalid HTTP_HOST header: '127.0.0.1:9001'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-07-08 22:42:20,093 log 228 Bad Request: /
WARNING 2020-07-08 22:42:20,094 basehttp 157 "GET / HTTP/1.1" 400 73292
ERROR 2020-07-08 22:42:20,589 exception 77 Invalid HTTP_HOST header: '127.0.0.1:9001'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-07-08 22:42:20,633 log 228 Bad Request: /favicon.ico
WARNING 2020-07-08 22:42:20,635 basehttp 157 "GET /favicon.ico HTTP/1.1" 400 73203
INFO 2020-07-08 22:42:21,737 autoreload 222 C:\Users\杨洪举\PycharmProjects\bz\bz_edu\bz_edu\settings\develop.py changed, reloading.
INFO 2020-07-08 22:42:23,537 autoreload 598 Watching for file changes with StatReloader
WARNING 2020-07-08 22:42:28,708 log 228 Not Found: /
WARNING 2020-07-08 22:42:28,708 basehttp 157 "GET / HTTP/1.1" 404 2045
WARNING 2020-07-08 22:42:28,786 log 228 Not Found: /favicon.ico
WARNING 2020-07-08 22:42:28,788 basehttp 157 "GET /favicon.ico HTTP/1.1" 404 2096
INFO 2020-07-08 22:42:39,352 basehttp 157 "GET /admin HTTP/1.1" 301 0
INFO 2020-07-08 22:42:39,414 basehttp 157 "GET /admin/ HTTP/1.1" 302 0
INFO 2020-07-08 22:42:39,703 basehttp 157 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1913
INFO 2020-07-08 22:42:39,829 basehttp 157 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18052
INFO 2020-07-08 22:42:39,886 basehttp 157 "GET /static/admin/css/login.css HTTP/1.1" 200 1233
INFO 2020-07-08 22:42:39,969 basehttp 157 "GET /static/admin/css/base.css HTTP/1.1" 200 16378
INFO 2020-07-08 22:42:39,980 basehttp 157 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
INFO 2020-07-08 22:42:40,076 basehttp 157 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
INFO 2020-07-08 22:42:40,094 basehttp 157 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
INFO 2020-07-08 22:42:48,932 basehttp 157 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2020-07-08 22:42:49,016 basehttp 157 "GET /admin/ HTTP/1.1" 200 4122
INFO 2020-07-08 22:42:49,061 basehttp 157 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 412
INFO 2020-07-08 22:42:49,082 basehttp 157 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2020-07-08 22:42:49,083 basehttp 157 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2020-07-08 22:42:49,112 basehttp 157 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
INFO 2020-07-08 22:42:58,028 basehttp 157 "GET /admin/home/banner/add/ HTTP/1.1" 200 6265
INFO 2020-07-08 22:42:58,063 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 22:42:58,105 basehttp 157 "GET /static/admin/css/forms.css HTTP/1.1" 200 8518
INFO 2020-07-08 22:42:58,117 basehttp 157 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 280364
INFO 2020-07-08 22:42:58,180 basehttp 157 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 363
INFO 2020-07-08 22:42:58,195 basehttp 157 "GET /static/admin/css/widgets.css HTTP/1.1" 200 10322
INFO 2020-07-08 22:42:58,198 basehttp 157 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1530
INFO 2020-07-08 22:42:58,202 basehttp 157 "GET /static/admin/js/change_form.js HTTP/1.1" 200 712
INFO 2020-07-08 22:42:58,210 basehttp 157 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 128820
INFO 2020-07-08 22:42:58,211 basehttp 157 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 495
INFO 2020-07-08 22:42:58,221 basehttp 157 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 6918
INFO 2020-07-08 22:42:58,242 basehttp 157 "GET /static/admin/js/actions.js HTTP/1.1" 200 6766
INFO 2020-07-08 22:42:58,246 basehttp 157 "GET /static/admin/js/urlify.js HTTP/1.1" 200 8941
INFO 2020-07-08 22:42:58,259 basehttp 157 "GET /static/admin/js/core.js HTTP/1.1" 200 5723
INFO 2020-07-08 22:48:44,512 basehttp 157 "POST /admin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-07-08 22:48:44,602 basehttp 157 "GET /admin/home/banner/add/ HTTP/1.1" 200 6493
INFO 2020-07-08 22:48:44,681 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 22:48:44,739 basehttp 157 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2020-07-08 22:50:21,149 basehttp 157 "POST /admin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-07-08 22:50:21,215 basehttp 157 "GET /admin/home/banner/add/ HTTP/1.1" 200 6490
INFO 2020-07-08 22:50:21,260 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 22:50:52,351 basehttp 157 "POST /admin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-07-08 22:50:52,566 basehttp 157 "GET /admin/home/banner/ HTTP/1.1" 200 4973
INFO 2020-07-08 22:50:52,632 basehttp 157 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6190
INFO 2020-07-08 22:50:52,635 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 22:50:52,699 basehttp 157 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2020-07-08 22:55:10,457 autoreload 222 C:\Users\杨洪举\PycharmProjects\bz\bz_edu\bz_edu\urls.py changed, reloading.
INFO 2020-07-08 22:55:18,811 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-08 22:56:05,695 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-08 22:57:52,015 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 22:57:52,082 basehttp 157 "GET /media/banner/02.png HTTP/1.1" 200 364808
INFO 2020-07-08 22:57:52,085 basehttp 157 "GET /media/banner/03.png HTTP/1.1" 200 745382
INFO 2020-07-08 22:57:52,088 basehttp 157 "GET /media/banner/01.png HTTP/1.1" 200 737783
INFO 2020-07-08 22:59:27,491 basehttp 157 "GET /admin/home/banner/add/ HTTP/1.1" 200 6265
INFO 2020-07-08 22:59:30,160 basehttp 157 "GET /admin/home/banner/add/ HTTP/1.1" 200 6265
INFO 2020-07-08 22:59:34,218 basehttp 157 "GET /admin/ HTTP/1.1" 200 5022
INFO 2020-07-08 22:59:39,736 basehttp 157 "GET /admin/home/nav/ HTTP/1.1" 200 3168
INFO 2020-07-08 22:59:39,795 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 22:59:41,702 basehttp 157 "GET /admin/home/nav/add/ HTTP/1.1" 200 6702
INFO 2020-07-08 22:59:41,772 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 23:00:42,461 basehttp 157 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 23:00:42,515 basehttp 157 "GET /admin/home/nav/add/ HTTP/1.1" 200 6921
INFO 2020-07-08 23:00:42,558 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 23:01:13,324 basehttp 157 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 23:01:13,380 basehttp 157 "GET /admin/home/nav/add/ HTTP/1.1" 200 6925
INFO 2020-07-08 23:01:13,427 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 23:01:41,530 basehttp 157 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 23:01:41,595 basehttp 157 "GET /admin/home/nav/add/ HTTP/1.1" 200 6924
INFO 2020-07-08 23:01:41,634 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 23:01:47,280 basehttp 157 "GET /admin/home/nav/add/ HTTP/1.1" 200 6702
INFO 2020-07-08 23:01:49,964 basehttp 157 "GET /admin/ HTTP/1.1" 200 5875
INFO 2020-07-08 23:01:52,105 basehttp 157 "GET /admin/home/nav/ HTTP/1.1" 200 4765
INFO 2020-07-08 23:01:52,146 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 23:01:55,796 basehttp 157 "GET /admin/home/nav/2/change/ HTTP/1.1" 200 6960
INFO 2020-07-08 23:01:55,941 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 23:02:00,477 basehttp 157 "POST /admin/home/nav/2/change/ HTTP/1.1" 302 0
INFO 2020-07-08 23:02:00,533 basehttp 157 "GET /admin/home/nav/add/ HTTP/1.1" 200 6927
INFO 2020-07-08 23:02:00,584 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 23:02:31,827 basehttp 157 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 23:02:31,890 basehttp 157 "GET /admin/home/nav/add/ HTTP/1.1" 200 6927
INFO 2020-07-08 23:02:31,934 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 23:03:11,957 basehttp 157 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 23:03:12,020 basehttp 157 "GET /admin/home/nav/ HTTP/1.1" 200 5393
INFO 2020-07-08 23:03:12,120 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 23:03:18,218 basehttp 157 "GET /admin/home/nav/add/ HTTP/1.1" 200 6702
INFO 2020-07-08 23:03:18,257 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 23:03:53,615 basehttp 157 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 23:03:53,722 basehttp 157 "GET /admin/home/nav/add/ HTTP/1.1" 200 6927
INFO 2020-07-08 23:03:53,759 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 23:04:25,710 basehttp 157 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 23:04:25,771 basehttp 157 "GET /admin/home/nav/add/ HTTP/1.1" 200 6927
INFO 2020-07-08 23:04:25,817 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 23:04:53,149 basehttp 157 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 23:04:53,209 basehttp 157 "GET /admin/home/nav/add/ HTTP/1.1" 200 6927
INFO 2020-07-08 23:04:53,265 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 23:05:22,354 basehttp 157 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 23:05:22,413 basehttp 157 "GET /admin/home/nav/add/ HTTP/1.1" 200 6927
INFO 2020-07-08 23:05:22,462 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 23:05:43,793 basehttp 157 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 23:05:43,849 basehttp 157 "GET /admin/home/nav/add/ HTTP/1.1" 200 6928
INFO 2020-07-08 23:05:43,887 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-07-08 23:06:07,466 basehttp 157 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 23:06:07,553 basehttp 157 "GET /admin/home/nav/ HTTP/1.1" 200 6721
INFO 2020-07-08 23:06:07,606 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
WARNING 2020-07-08 23:13:12,118 log 228 Not Found: /home/nav/
WARNING 2020-07-08 23:13:12,119 basehttp 157 "GET /home/nav/ HTTP/1.1" 404 2249
INFO 2020-07-08 23:17:10,367 autoreload 222 C:\Users\杨洪举\PycharmProjects\bz\bz_edu\bz_edu\apps\home\urls.py changed, reloading.
INFO 2020-07-08 23:17:15,030 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-08 23:22:57,778 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:24:01,331 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:24:01,370 basehttp 157 "GET /media/banner/03.png HTTP/1.1" 304 0
INFO 2020-07-08 23:24:01,371 basehttp 157 "GET /media/banner/02.png HTTP/1.1" 304 0
INFO 2020-07-08 23:24:01,372 basehttp 157 "GET /media/banner/01.png HTTP/1.1" 304 0
INFO 2020-07-08 23:24:01,527 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:24:58,014 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:24:58,020 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:26:09,698 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:26:09,698 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:27:28,619 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:27:28,642 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:27:28,692 basehttp 157 "GET /media/banner/03.png HTTP/1.1" 304 0
INFO 2020-07-08 23:27:28,698 basehttp 157 "GET /media/banner/02.png HTTP/1.1" 304 0
INFO 2020-07-08 23:27:33,195 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:27:33,206 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:27:33,367 basehttp 157 "GET /media/banner/01.png HTTP/1.1" 304 0
INFO 2020-07-08 23:28:19,787 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:28:19,793 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:30:49,569 autoreload 222 C:\Users\杨洪举\PycharmProjects\bz\bz_edu\bz_edu\apps\home\views.py changed, reloading.
INFO 2020-07-08 23:30:54,331 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-08 23:31:16,483 autoreload 222 C:\Users\杨洪举\PycharmProjects\bz\bz_edu\bz_edu\apps\home\views.py changed, reloading.
INFO 2020-07-08 23:31:18,602 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-08 23:31:30,301 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:31:30,305 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 299
INFO 2020-07-08 23:31:30,389 basehttp 157 "GET /media/banner/03.png HTTP/1.1" 304 0
INFO 2020-07-08 23:31:30,391 basehttp 157 "GET /media/banner/02.png HTTP/1.1" 304 0
INFO 2020-07-08 23:31:30,397 basehttp 157 "GET /media/banner/01.png HTTP/1.1" 304 0
INFO 2020-07-08 23:32:53,591 autoreload 222 C:\Users\杨洪举\PycharmProjects\bz\bz_edu\bz_edu\apps\home\views.py changed, reloading.
INFO 2020-07-08 23:32:55,543 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-08 23:33:07,361 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:33:07,361 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:33:35,017 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:33:35,017 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:33:35,199 basehttp 157 "GET /media/banner/03.png HTTP/1.1" 200 745382
INFO 2020-07-08 23:33:35,202 basehttp 157 "GET /media/banner/02.png HTTP/1.1" 200 364808
INFO 2020-07-08 23:33:35,209 basehttp 157 "GET /media/banner/01.png HTTP/1.1" 200 737783
INFO 2020-07-08 23:34:56,528 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:34:58,571 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:34:58,628 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:34:58,767 basehttp 157 "GET /media/banner/03.png HTTP/1.1" 200 745382
INFO 2020-07-08 23:34:58,780 basehttp 157 "GET /media/banner/02.png HTTP/1.1" 200 364808
INFO 2020-07-08 23:34:58,816 basehttp 157 "GET /media/banner/01.png HTTP/1.1" 200 737783
INFO 2020-07-08 23:36:01,114 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:39:48,860 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:39:48,879 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:39:48,896 basehttp 157 "GET /media/banner/03.png HTTP/1.1" 304 0
INFO 2020-07-08 23:39:48,901 basehttp 157 "GET /media/banner/02.png HTTP/1.1" 304 0
INFO 2020-07-08 23:39:48,906 basehttp 157 "GET /media/banner/01.png HTTP/1.1" 304 0
INFO 2020-07-08 23:41:15,748 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:41:15,754 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:41:20,126 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:41:20,126 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:43:23,234 autoreload 222 C:\Users\杨洪举\PycharmProjects\bz\bz_edu\bz_edu\apps\home\views.py changed, reloading.
INFO 2020-07-08 23:43:27,706 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-08 23:43:46,245 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 375
INFO 2020-07-08 23:43:46,245 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:45:49,639 autoreload 222 C:\Users\杨洪举\PycharmProjects\bz\bz_edu\bz_edu\apps\home\views.py changed, reloading.
INFO 2020-07-08 23:45:51,344 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-08 23:47:40,270 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:47:40,271 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:47:40,306 basehttp 157 "GET /media/banner/03.png HTTP/1.1" 304 0
INFO 2020-07-08 23:47:40,311 basehttp 157 "GET /media/banner/02.png HTTP/1.1" 304 0
INFO 2020-07-08 23:47:40,316 basehttp 157 "GET /media/banner/01.png HTTP/1.1" 304 0
INFO 2020-07-08 23:55:01,244 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:55:01,244 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:55:01,267 basehttp 157 "GET /media/banner/03.png HTTP/1.1" 304 0
INFO 2020-07-08 23:55:01,278 basehttp 157 "GET /media/banner/02.png HTTP/1.1" 304 0
INFO 2020-07-08 23:55:01,280 basehttp 157 "GET /media/banner/01.png HTTP/1.1" 304 0
INFO 2020-07-08 23:55:35,604 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:55:35,618 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:57:45,770 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:57:45,776 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:59:43,902 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:59:48,687 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-08 23:59:48,702 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-08 23:59:48,707 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-09 00:00:55,843 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-09 00:00:55,843 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 230
INFO 2020-07-09 00:00:55,861 basehttp 157 "GET /home/nav/ HTTP/1.1" 200 673
INFO 2020-07-09 00:01:07,474 basehttp 157 "GET /admin/home/nav/ HTTP/1.1" 200 6532
INFO 2020-07-09 16:49:43,330 autoreload 598 Watching for file changes with StatReloader
WARNING 2020-07-09 16:49:53,080 log 228 Not Found: /
WARNING 2020-07-09 16:49:53,081 basehttp 157 "GET / HTTP/1.1" 404 2150
